id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10463735,Sobrado aconchegante e espaçoso,53918534,Quiá,,Laranjeiras,-2.293.555,-4.319.107,Entire home/apt,581,1,2,2018-02-14,0.03,6,181
53887789,Quadra da praia,333527901,Lucas,,Copacabana,-2.297.032,-4.318.081,Entire home/apt,898,5,0,,,2,365
783493769216852616,"Leme, Brasil",491704706,Felipe,,Leme,-2.296.421,-431.716,Entire home/apt,720,1,0,,,2,362
703973293620197060,Suíte com entrada independente em casarão 1,20362236,Júlio Cesar,,Botafogo,-2.295.792.000.774.180,-4.318.222.590.793.450,Private room,599,4,1,2022-09-06,0.26,4,363
782895997622988215,Apartamento próximo ao metrô,302417043,Laís,,Laranjeiras,-2.293.196,-4.318.018,Entire home/apt,240,3,0,,,1,160
23768085,Vamos a praia,86611015,Mauro,,Barra da Tijuca,-2.301.104,-4.332.034,Entire home/apt,494,3,92,2022-11-18,1.59,1,228
21568335,"Copacabana, perto de tudo",55254246,Ronaldo,,Copacabana,-2.296.038,-4.317.372,Entire home/apt,657,2,2,2022-09-16,0.55,1,241
784798816581009420,Leblon Luxo Apartamento Inteiro,491910985,Licia,,Leblon,-229.857.184,-432.339.371,Entire home/apt,3509,4,0,,,1,348
47943201,"Diversão, turismo e conforto é em Ipanema",386420902,Wagner,,Ipanema,-2.298.091,-4.319.814,Entire home/apt,1300,4,0,,,1,80
783267737701368911,apartamento em Lapa!,6355551,Francisco,,Centro,-2.291.002,-4.318.359,Entire home/apt,232,3,0,,,2,263
38267361,Não está alugando,280937280,Marisa,,Flamengo,-2.293.019,-4.317.555,Private room,500,1,17,2020-02-25,0.42,1,90
753623550024404968,Apartamento pronto para morar,486077889,Marcus,,Gávea,-22.977.181,-43.232.671,Entire home/apt,600,1,0,,,1,171
3147066,"IpaView 2BD + View, Ipanema Beach",4399830,Bruno,,Ipanema,-2.298.113,-4.319.848,Entire home/apt,1403,2,307,2022-12-21,2.94,1,334
787181553716310468,"Flat frente mar, posto 4 Barra",492309121,Thatiane,,Barra da Tijuca,-2.301.004,-4.332.728,Entire home/apt,1025,1,0,,,1,223
53739818,Apt Carnaval Rio de Janeiro com crianças,47732200,Felipe,,Jacarepaguá,-2.296.574,-4.338.343,Entire home/apt,800,1,0,,,1,362
678943438064821908,Quarto pequeno e aconchegante em Copacabana,83390985,Kuca,,Copacabana,-229.652.514,-431.783.995,Private room,200,7,0,,,2,64
687818632905904296,"Recreio Parque Olímpico 
Próx ao Rio Centro Barra",272752257,Felipe,,Recreio dos Bandeirantes,-2.301.647,-4.348.331,Entire home/apt,1293,3,4,2022-11-14,01.03,7,62
41229726,"Super flat, mediterrâneo , melhor ponto barra",312526846,Rodrigo,,Barra da Tijuca,-2.300.577,-4.334.078,Entire home/apt,1267,4,1,2022-09-11,0.27,6,357
687559765766507167,"Cobertura Barra da Tijuca, próxima ao Rock In Rio.",83544770,Alberto,,Jacarepaguá,-2.297.299,-4.338.182,Entire home/apt,1500,1,1,2022-09-05,0.26,1,358
43851003,Ipanema Sunset Apartment,348293564,Juliana,,Ipanema,-2.298.103,-4.319.816,Entire home/apt,782,1,18,2022-11-16,0.70,16,77
623182395777522700,Apartamento próximo ao Parque Olímpico (RIR),43133633,Carlos,,Jacarepaguá,-2.297.117,-4.339.006,Entire home/apt,3000,1,2,2022-09-12,0.54,1,363
